43530_2003.txt,country:CHEg,party:EVP/PEV Protentant People?s Party of Switzerland,year:2003,1.0,1329.0,0.000753012048193
43710_2003.txt,country:CHEg,party:SD/DS Swiss Democrats,year:2003,3.0,3387.0,0.000886524822695
43810_1999.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1999,5.0,11650.0,0.000429368827823
43320_1999.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1999,4.0,8227.0,0.000486440471847
43520_1999.txt,country:CHEg,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1999,16.0,22715.0,0.000704876866822
43420_1999.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1999,1.0,4690.0,0.000213265088505
43110_1999.txt,country:CHEg,party:GPS/PES Green Party of Switzerland,year:1999,4.0,3575.0,0.00112013441613
43530_1999.txt,country:CHEg,party:EVP/PEV Protentant People?s Party of Switzerland,year:1999,1.0,1365.0,0.000733137829912
43321_1975.txt,country:CHEg,party:LdU/AdI Independents? Alliance,year:1975,2.0,3113.0,0.000642880102861
43420_1975.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1975,5.0,9592.0,0.000521539584854
43810_1975.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1975,0.0,894.0,0.0
43320_1975.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1975,2.0,3650.0,0.000548245614035
43951_1991.txt,country:CHEg,party:FPS Freedom Party of Switzerland,year:1991,5.0,6457.0,0.00077495350279
43530_1991.txt,country:CHEg,party:EVP/PEV Protentant People?s Party of Switzerland,year:1991,1.0,4218.0,0.000237135404316
43810_1991.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1991,2.0,2288.0,0.00087489063867
43420_1991.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1991,1.0,3607.0,0.000277315585136
43710_1991.txt,country:CHEg,party:SD/DS Swiss Democrats,year:1991,4.0,3409.0,0.00117474302496
43520_1991.txt,country:CHEg,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1991,1.0,5799.0,0.000172473266644
43110_1991.txt,country:CHEg,party:GPS/PES Green Party of Switzerland,year:1991,1.0,4082.0,0.000245037980887
43320_1991.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1991,2.0,3677.0,0.000544217687075
43530_1995.txt,country:CHEg,party:EVP/PEV Protentant People?s Party of Switzerland,year:1995,1.0,865.0,0.00115740740741
43110_1995.txt,country:CHEg,party:GPS/PES Green Party of Switzerland,year:1995,5.0,2522.0,0.00198649185538
43321_1995.txt,country:CHEg,party:LdU/AdI Independents? Alliance,year:1995,3.0,2248.0,0.00133630289532
43520_1995.txt,country:CHEg,party:CVP/PDC Christian Democratic People?s Party of Switzerland,year:1995,1.0,1367.0,0.000732064421669
43320_1995.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1995,2.0,3833.0,0.000522056904203
43420_1995.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1995,6.0,2728.0,0.00220426157237
43810_1995.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1995,0.0,6498.0,0.0
43810_1983.txt,country:CHEg,party:SVP/UDC Swiss People?s Party,year:1983,1.0,10495.0,9.52925481227e-05
43320_1983.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1983,5.0,3630.0,0.00137931034483
43420_1983.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1983,4.0,3577.0,0.00111950741674
43320_1979.txt,country:CHEg,party:SPS/PSS Social Democratic Party of Switzerland,year:1979,19.0,11157.0,0.00170587179027
43420_1979.txt,country:CHEg,party:FDP/PRD Radical Democratic Party,year:1979,6.0,17700.0,0.000339097999322
21320_1965.txt,country:BELf,party:BSP/PSB Belgian Socialist Party,year:1965,2.0,13224.0,0.000151263046438
21520_1965.txt,country:BELf,party:PSC/CVP Francophone Christian Social Party and Flemish Christian People?s Party,year:1965,0.0,4385.0,0.0
21911_1978.txt,country:BELf,party:RW Walloon Rally,year:1978,5.0,21561.0,0.00023195398033
21422_1978.txt,country:BELf,party:PRL Liberal Reformation Party,year:1978,7.0,16946.0,0.000413247535274
21322_1978.txt,country:BELf,party:PS Francophone Socialist Party,year:1978,3.0,18036.0,0.000166361670271
21522_1978.txt,country:BELf,party:PSC Christian Social Party,year:1978,4.0,15039.0,0.000266045892917
21912_1978.txt,country:BELf,party:FDF Francophone Democratic Front,year:1978,2.0,4305.0,0.000464792005578
21424_1978.txt,country:BELf,party:PLDP Liberal Democratic and Pluralist Party,year:1978,0.0,821.0,0.0
21912_1987.txt,country:BELf,party:FDF Francophone Democratic Front,year:1987,6.0,26782.0,0.000224081266806
21422_1987.txt,country:BELf,party:PRL Liberal Reformation Party,year:1987,7.0,29190.0,0.000239865675222
21322_1987.txt,country:BELf,party:PS Francophone Socialist Party,year:1987,3.0,13827.0,0.000217013888889
21522_1987.txt,country:BELf,party:PSC Christian Social Party,year:1987,1.0,8427.0,0.000118680275338
21111_1987.txt,country:BELf,party:ECOLO Ecologists,year:1987,1.0,3577.0,0.000279642058166
21421_1971.txt,country:BELf,party:openVLD Open Flemish Liberals and Democrats,year:1971,1.0,9016.0,0.000110926234054
21912_1971.txt,country:BELf,party:FDF Francophone Democratic Front,year:1971,5.0,11228.0,0.00044551367727
21522_1971.txt,country:BELf,party:PSC Christian Social Party,year:1971,1.0,8305.0,0.0001204238921
21911_1971.txt,country:BELf,party:RW Walloon Rally,year:1971,4.0,6962.0,0.000574877838459
21320_1971.txt,country:BELf,party:BSP/PSB Belgian Socialist Party,year:1971,0.0,6591.0,0.0
21522_1977.txt,country:BELf,party:PSC Christian Social Party,year:1977,0.0,6311.0,0.0
21911_1977.txt,country:BELf,party:RW Walloon Rally,year:1977,1.0,3678.0,0.000271960837639
21912_1977.txt,country:BELf,party:FDF Francophone Democratic Front,year:1977,15.0,22786.0,0.000658732598481
21422_1977.txt,country:BELf,party:PRL Liberal Reformation Party,year:1977,4.0,6287.0,0.000636638548464
21320_1977.txt,country:BELf,party:BSP/PSB Belgian Socialist Party,year:1977,2.0,22866.0,8.74737578726e-05
21424_1977.txt,country:BELf,party:PLDP Liberal Democratic and Pluralist Party,year:1977,1.0,2218.0,0.000451059990979
21320_1974.txt,country:BELf,party:BSP/PSB Belgian Socialist Party,year:1974,3.0,3395.0,0.000884433962264
21911_1974.txt,country:BELf,party:RW Walloon Rally,year:1974,11.0,15915.0,0.000691649899396
21424_1974.txt,country:BELf,party:PLDP Liberal Democratic and Pluralist Party,year:1974,0.0,410.0,0.0
21522_1974.txt,country:BELf,party:PSC Christian Social Party,year:1974,2.0,5063.0,0.000395178818415
21521_1974.txt,country:BELf,party:CD&V Christian Democratic and Flemish,year:1974,1.0,4839.0,0.000206696982224
21422_1974.txt,country:BELf,party:PRL Liberal Reformation Party,year:1974,1.0,2831.0,0.000353356890459
21912_1974.txt,country:BELf,party:FDF Francophone Democratic Front,year:1974,10.0,20960.0,0.000477326968974
21522_2010.txt,country:BELf,party:PSC Christian Social Party,year:2010,44.0,148272.0,0.000296840003238
21322_2010.txt,country:BELf,party:PS Francophone Socialist Party,year:2010,7.0,51606.0,0.000135661543828
21426_2010.txt,country:BELf,party:MR Reform Movement,year:2010,18.0,124197.0,0.000144952045032
21111_2003.txt,country:BELf,party:ECOLO Ecologists,year:2003,0.0,4206.0,0.0
21522_2003.txt,country:BELf,party:PSC Christian Social Party,year:2003,25.0,142592.0,0.000175356148337
21322_2003.txt,country:BELf,party:PS Francophone Socialist Party,year:2003,14.0,80826.0,0.000173241597783
21522_1999.txt,country:BELf,party:PSC Christian Social Party,year:1999,5.0,13875.0,0.000360490266763
21425_1999.txt,country:BELf,party:PRL-FDF-MCC Liberal Reformation Party - Francophone Democratic Front - Citizens? Movement for Change,year:1999,17.0,63235.0,0.000268910753266
21322_1999.txt,country:BELf,party:PS Francophone Socialist Party,year:1999,1.0,22601.0,4.42477876106e-05
21322_2007.txt,country:BELf,party:PS Francophone Socialist Party,year:2007,33.0,119493.0,0.000276243093923
21522_2007.txt,country:BELf,party:PSC Christian Social Party,year:2007,50.0,123854.0,0.000403864172402
21426_2007.txt,country:BELf,party:MR Reform Movement,year:2007,31.0,132328.0,0.000234321262009
21522_1968.txt,country:BELf,party:PSC Christian Social Party,year:1968,0.0,6186.0,0.0
21320_1968.txt,country:BELf,party:BSP/PSB Belgian Socialist Party,year:1968,0.0,3598.0,0.0
21420_1968.txt,country:BELf,party:PVV/PLP Party of Liberty and Progress,year:1968,1.0,11205.0,8.9253837915e-05
21912_1968.txt,country:BELf,party:FDF Francophone Democratic Front,year:1968,12.0,12756.0,0.000941619585687
21522_1991.txt,country:BELf,party:PSC Christian Social Party,year:1991,4.0,15034.0,0.000266134397871
21322_1991.txt,country:BELf,party:PS Francophone Socialist Party,year:1991,4.0,28851.0,0.00013866259923
21912_1991.txt,country:BELf,party:FDF Francophone Democratic Front,year:1991,7.0,40973.0,0.000170873407216
21422_1991.txt,country:BELf,party:PRL Liberal Reformation Party,year:1991,2.0,5747.0,0.000348128807659
21111_1991.txt,country:BELf,party:ECOLO Ecologists,year:1991,10.0,69811.0,0.000143264423146
